course_code\\course_ame\\units\\description
CMSC 150\\Numerical and Symbolic Computation\\3\\"Computational problem solving; sources of errors in computation; iterative approximation methods and symbolic algebra; mathematical software libraries and symbolic manipulation packages. Prerequisite: MATH 27 or MATH 36, and CMSC 21, or COI."
CMSC 161\\Interactive Computer Graphics\\3\\"Graphics systems software and hardware, 2D drawing algorithms, geometrical transformations, surface modeling, 3D viewing, visible surface determination algorithms, reflection and illumination models, shading models for polygons, color theory, ray tracing, animation. Students write their 3D rendering engine. Prerequisite: CMSC 123 or COI."
CMSC 165\\Digital Image Processing\\3\\"Methods for acquiring, creating, manipulating, enhancing, and analyzing digital images. Prerequisite: CMSC 123 or COI."
CMSC 170\\Introduction to Artificial Intelligence\\3\\"Basic principles and applications of artificial intelligence: knowledge representation, natural language processing, pattern recognition and expert systems. Prerequisite: CMSC 123."
CMSC 172\\Robot Modeling\\3\\"Robotics manipulators and their characteristics; conversion from joint space to real world coordinates; inverse kinematics; workspace analysis; differential motion. Prerequisite: CMSC 123."
CMSC 173\\Human-Computer Interaction\\3\\"Theory, design methodologies, and programming practices in Human-Computer Interaction. Prerequisites: CMSC 123 and STAT 101."
CMSC 180\\Introduction to Parallel Computing\\3\\"Parallel computational models, machine architectures, performance models, algorithms, and programming. Prerequisite: CMSC 132."
CMSC 190\\Special Problem\\3\\"To be enrolled twice; once as one-unit course to prepare for a proposal, then as a two-unit course to implement the proposal. Prerequisite: COI."
CMSC 191\\Special Topics\\3\\"Elective course covering advanced or emerging topics in computer science. Prerequisite: CMSC 123."
CMSC 198\\Practicum\\3\\"Supervised practical experience in an industry or research institution relevant to computer science. Prerequisite: COI."
CMSC 199\\Undergraduate Seminar\\1\\"Seminar on current developments and issues in computer science. Prerequisite: COI."
CMSC 200\\Undergraduate Thesis\\6\\"Individual research work culminating in a written thesis and oral defense. Prerequisite: COI."
CMSC 214\\Programming Language Design Concepts\\3\\"Formal language theory, principles, and techniques of compiler construction, programming language design concepts, parallelism, and formal semantics. 3 hrs (class). Prerequisite: CMSC 124 and CMSC 141 or COI. Offered during Second Semester."
CMSC 215\\Advanced Computer Systems\\3\\"Recent developments in computer architecture and computer systems. 3 hrs (class). Prerequisite: CMSC 125 and CMSC 131 or COI. Offered during First Semester."
CMSC 227\\Advanced Database Systems\\3\\"Conceptual design of a database; models for conceptual design; database management, security and recovery; database languages. 3 hrs (class). Prerequisite: CMSC 127 or COI. Offered during First Semester."
CMSC 241\\Formal Languages, Automata Theory and Computations\\3\\"Finite automata and regular expressions; context-free languages; Turing machines; undecidability. 3 hrs (class). Prerequisite: CMSC 141 or COI. Offered during First Semester."
CMSC 244\\Algorithms and Advanced Data Structures I\\3\\"Design, analysis, and implementation of algorithms; use of advanced data structures in algorithm design. 3 hrs (class). Prerequisite: CMSC 142 or COI. Offered during First Semester."
CMSC 245\\Algorithms and Advanced Data Structures II\\3\\"Advanced topics in algorithmic graph theory, efficient polynomial and matrix algorithms; number theoretic algorithms, string processing and computational geometry; design and analysis of parallel algorithms; theory of NP-completeness and approximation algorithms. 3 hrs (class). Prerequisite: CMSC 244. Offered during Second Semester."
CMSC 250\\Scientific Computing\\3\\"Principles, methodology, and tools of scientific computing. 3 hrs (class). Prerequisite: MATH 28 or MATH 38 or COI. Offered during First Semester."
CMSC 265\\Advanced Digital Image Processing\\3\\"Theories, applications, recent advances, and open problems in digital image processing. 5 hrs (2 class, 3 lab). Prerequisite: CMSC 165 or COI. Offered during Second Semester."
CMSC 271\\Management Information Systems\\3\\"Computer-based methodologies for the design and development of management information systems. 3 hrs (class). Prerequisite: CMSC 127 or COI. Offered during First Semester."
CMSC 272\\Management Information Systems\\3\\"Information engineering concepts and tools for strategic systems planning and development. 3 hrs (class). Prerequisite: CMSC 127 or COI. Offered during Second Semester."
CMSC 280\\Parallel Processing\\3\\"Parallel machine models; design, analysis, and implementation of parallel algorithms. 3 hrs (class). Prerequisite: CMSC 132 or COI. Offered during Second Semester."
CMSC 290\\Special Problems\\1-3\\"May be taken twice provided that the total number of units to be credited to the student’s program will not exceed 4 units. Prerequisite: COI. Offered during First Semester and Second Semester."
CMSC 291\\Special Topics\\1-3\\"May be taken twice provided that the total number of units to be credited to the student’s program will not exceed 4 units. Prerequisite: COI. Offered during First Semester and Second Semester."
CMSC 299\\Graduate Seminar\\1\\"May be taken twice. Offered during First and Second Semester."
CMSC 300\\Master’s Thesis\\6\\"Supervised individual research work culminating in a written thesis and oral defense. Prerequisite: COI. Offered during First Semester, Second Semester, and Midyear."
CMSC 341\\Advanced Theory of Computation\\3\\"Recursive function theory, computability, and decidability. 3 hrs (class). Prerequisite: CMSC 241. Offered during First Semester."
CMSC 342\\Computational Complexity Theory\\3\\"Time and space complexities of algorithms. 3 hrs (class). Prerequisite: CMSC 245. Offered during Second Semester."
CMSC 391\\Special Topics\\1-3\\"May be taken twice provided that the total number of units to be credited to the student’s program will not exceed 4 units. Prerequisite: COI. Offered during First and Second Semesters."
CMSC 399\\Graduate Seminar\\1\\"Presentation and discussion of advanced research in computer science. Prerequisite: COI. Offered during First and Second Semesters."
CMSC 400\\Doctoral Dissertation\\12\\"Independent and original research leading to a doctoral dissertation under faculty supervision. Prerequisite: COI. Offered during First Semester, Second Semester, and Midyear."
IT 210\\Web Application Development\\3\\"WWW programming, Internet and Intranet applications development, designing and building active server pages and other integrated web-based solutions. 5 hrs (2 class, 3 lab). Prerequisite: CMSC 100 or COI. Offered during First Semester."
IT 226\\Enterprise Information Systems\\3\\"Framework of information systems in organizations, enterprise process modeling, and development of collaborative enterprise systems using IT tools and other enabling technologies. 3 hrs (class). Prerequisite: COI. Offered during First Semester."
IT 227\\E-Commerce Technologies\\3\\"Fundamental concepts and applications of e-commerce technologies. 5 hrs (2 class, 3 lab). Prerequisite: IT 210 and IT 226 or COI. Offered during Second Semester."
IT 238\\Networking and Client/Server Computing\\3\\"Client/Server computing techniques, system design, software, and applications. 5 hrs (2 class, 3 lab). Prerequisite: CMSC 137 or COI. Offered during First Semester."
IT 280\\Internet Security\\3\\"Algorithms, IT solutions, and security issues associated with developing applications for the Internet. 5 hrs (2 class, 3 lab). Prerequisite: IT 238 or COI. Offered during First Semester."
IT 295\\IT-Based Application Project\\6\\"Supervised project on the design and development of IT-based applications. Prerequisite: COI. Offered during First Semester, Second Semester, and Midyear."
IT 299\\Graduate Seminar\\1\\"Seminar on current topics in Information Technology. Prerequisite: COI. Offered during First Semester and Second Semester."

